1 | Title | Definition | No
181 | Title | Precautions | No
182 | NarrativeText | Most women are able to have abortions at clinics or outpatient facilities if the procedure is performed early in pregnancy. Women who have stable diabetes, controlled epilepsy, mild to moderate high blood pressure, or who are HIV positive can often have abortions as outpatients if precautions are taken. Women with heart disease, pre- vious endocarditis, asthma, lupus erythematosus, uter- ine fibroid tumors, blood clotting disorders, poorly con- trolled epilepsy, or some psychological disorders usually need to be hospitalized in order to receive special moni- toring and medications during the procedure. | No
183 | Title | Description | No
184 | Title | Very early abortions | No
185 | NarrativeText | Between five and seven weeks, a pregnancy can be ended by a procedure called menstrual extraction. This procedure is also sometimes called menstrual regulation, mini-suction, or preemptive abortion. The contents of the uterus are suctioned out through a thin (3-4 mm) plastic tube that is inserted through the undilated cervix. Suction is applied either by a bulb syringe or a small pump. | No
186 | NarrativeText | Another method is called the “morning after” pill, or emergency contraception. Basically, it involves taking high doses of birth control pills within 24 to 48 hours of having unprotected sex. The high doses of hormones causes the uterine lining to change so that it will not sup- port a pregnancy. Thus, if the egg has been fertilized, it is simply expelled from the body. | No
187 | NarrativeText | There are two types of emergency contraception. One type is identical to ordinary birth control pills, and uses the hormones estrogen and progestin). This type is available with a prescription under the brand name Pre- ven. But women can even use their regular birth control pills for emergency contraception, after they check with their doctor about the proper dose. About half of women who use birth control pills for emergency contraception get nauseated and 20 percent vomit. This method cuts the risk of pregnancy 75 percent. | No
188 | NarrativeText | The other type of morning-after pill contains only one hormone: progestin, and is available under the brand name Plan B. It is more effective than the first type with a lower risk of nausea and vomiting. It reduces the risk of pregnancy 89 percent. | No
189 | NarrativeText | Women should check with their physicians regard- ing the proper dose of pills to take, as it depends on the Vulsellum Vagina Uterus Speculum Extraction tube Cervix | No
190 | NarrativeText | Between 5 and 7 weeks, a pregnancy can be ended by a pro- cedure called menstrual extraction. The contents of the uterus are suctioned out through a thin extraction tube that is inserted through the undilated cervix. (//lustration by Elec- tronic Illustrators Group.) | No
191 | NarrativeText | brand of birth control pill. Not all birth control pills will work for emergency contraception. | No
192 | NarrativeText | Menstrual extractions are safe, but because the amount of fetal material is so small at this stage of devel- opment, it is easy to miss. This results in an incomplete abortion that means the pregnancy continues. | No
193 | Title | First trimester abortions | No
194 | NarrativeText | The first trimester of pregnancy includes the first 13 weeks after the last menstrual period. In the United States, about 90% of abortions are performed during this period. It is the safest time in which to have an abortion, and the time in which women have the most choice of how the procedure is performed. | No
195 | NarrativeText | MEDICAL ABORTIONS. Medical abortions are brought about by taking medications that end the pregnancy. The advantages of a first trimester medical abortion are: ¢ The procedure is non-invasive; no surgical instruments are used. | No
196 | ListItem | ¢ Anesthesia is not required. | No
197 | ListItem | ¢ Drugs are administered either orally or by injection. | No
198 | ListItem | « The procedure resembles a natural miscarriage. | No
199 | NarrativeText | Disadvantages of a medical abortion are: + The effectiveness decreases after the seventh week. | No
200 | Title | 10 | No
201 | ListItem | ¢ The procedure may require multiple visits to the doctor. | No
202 | ListItem | * Bleeding after the abortion lasts longer than after a sur- gical abortion. | No
203 | ListItem | * The woman may see the contents of her womb as it is expelled. | No
204 | NarrativeText | Two different medications can be used to bring about an abortion. Methotrexate (Rheumatrex) works by stop- ping fetal cells from dividing which causes the fetus to die. | No
205 | NarrativeText | On the first visit to the doctor, the woman receives an injection of methotrexate. On the second visit, about a week later, she is given misoprostol (Cytotec), an oxygenated unsaturated cyclic fatty acid responsible for various hormonal reactions such as muscle contraction (prostaglandin), that stimulates contractions of the uterus. Within two weeks, the woman will expel the contents of her uterus, ending the pregnancy. A follow- up visit to the doctor is necessary to assure that the abortion is complete. | No
206 | NarrativeText | With this procedure, a woman will feel cramping and may feel nauseated from the misoprostol. This combination of drugs is 90-96% effective in ending pregnancy. | No
